Date;DRK;BTC;LTC
2017-04-28;0.01136728;;
2017-04-29;0.01008568;;
2017-04-30;0.011435;;
2017-05-01;0.01228044;;
2017-05-02;0.01299756;;
2017-05-03;0.01091016;;
2017-05-04;0.01062691;0.00000446;0.00031686
2017-05-05;0.00748826;0.0005732;0.00370733
2017-05-06;0.0073813;0.0001493;0.0085804
2017-05-07;0.00724328;0.0001518;0.00872179
2017-05-08;0.00538061;0.00011732;0.00614546
2017-05-09;0.00724046;0.00014552;0.00819704
2017-05-10;0.0081169;0.00013584;0.00823043
2017-05-11;0.00647774;0.00011364;0.00579762
2017-05-12;0.00039111;0.00054794;0.00038838
2017-05-13;;0.00052669;
2017-05-14;0.00284673;0.00035733,